ID,artist,title,genre
a908,AURORA,Running With the Wolves,folk
a910,Alison Krauss,When You Say Nothing at All,folk
a911,Alison Krauss,Forget About It,folk
a917,Violent Femmes,It’s Gonna Rain,folk
a918,Violent Femmes,Children of the Revolution,folk
a919,Killing Joke-Violent Femmes,Money Is Not Our God (Hideous remix) / Special (live),folk
a920,Violent Femmes,American Music,folk
a921,Violent Femmes,Do You Really Want to Hurt Me?,folk
a922,Violent Femmes,Used to Be,folk
a923,Violent Femmes,I Held Her in My Arms,folk
a924,Violent Femmes,Breakin’ Up,folk
a925,Van Morrison,Have I Told You Lately,folk
a926,Van Morrison-Cliff Richard,Whenever God Shines His Light,folk
a927,Van Morrison,In the Days Before Rock 'n' Roll,folk
a928,Van Morrison,Real Real Gone,folk
a929,Van Morrison,I Can't Stop Loving You,folk
a930,Van Morrison,Why Must I Always Explain?,folk
a943,Yusuf Islam,Indian Ocean,folk
a947,Yes,Sweetness,folk
a949,Xavier Rudd,Better People,folk
a950,Xavier Rudd,This World as We Know It,folk
a951,Xavier Rudd,Follow the Sun,folk
a952,Woody Guthrie,Vigilante Man / I Ain't Got No Home in This World Anymore,folk
a954,The Lovin’ Spoonful,You Didn't Have to Be So Nice / My Gal,folk
a955,The Lovin’ Spoonful,Bald-Headed Lena / Jug Band Music,folk
a956,The Lovin’ Spoonful,Daydream,folk
a957,The Lovin’ Spoonful,Did You Ever Have to Make Up Your Mind,folk
a958,The Lovin’ Spoonful,Nashville Cats / Full Measure,folk
a959,The Lovin’ Spoonful,Rain on the Roof,folk
a960,The Lovin’ Spoonful,Summer in the City,folk
a961,The Byrds,All I Really Want to Do,folk
a962,The Byrds,Mr. Tambourine Man,folk
a963,The Byrds,Lady Friend / Old John Robertson,folk
a964,The Byrds,So You Want to Be a Rock'n'Roll Star,folk
a966,The Byrds,Lazy Days / Reputation,folk
a967,Roberta Flack,Don't Make Me Wait Too Long,folk
a968,Roberta Flack,Killing Me Softly With His Song,folk
a976,Kate Bush,The Man With the Child in His Eyes,folk
a977,Kate Bush,Hammer Horror,folk
a978,Kate Bush,Wow,folk
a979,Kate Bush,Breathing,folk
a980,Kate Bush,Babooshka,folk
a981,Kate Bush,Army Dreamers,folk
a982,Kate Bush,December Will Be Magic Again,folk
a983,Kate Bush,Sat in Your Lap,folk
a984,John Lennon,Mother,folk
a985,John Lennon,Power to the People,folk
a986,John Lennon,Power to the People,folk
a987,John Lennon,Imagine,folk
a988,The Harlem Community Choir,Happy Xmas (War Is Over),folk
a989,John Lennon,Woman Is the Nigger of the World,folk
a990,John Lennon,Mind Games,folk
a999,AURORA,Half The World Away,folk
a1000,AURORA,Conqueror,folk
a1001,Icarus-AURORA,Home,folk
a1002,AURORA,I Went Too Far,folk
a1003,Alison Krauss,Maybe,folk
a1007,Violent Femmes,Machine,folk
a1008,Violent Femmes,Memory,folk
a1009,Van Morrison-John Lee Hooker,Gloria,folk
a1010,The Chieftains-Van Morrison,Have I Told You Lately That I Love You?,folk
a1011,Van Morrison,Days Like This,folk
a1012,Van Morrison,No Religion,folk
a1013,Van Morrison,Perfect Fit,folk
a1014,Van Morrison,Rough God Goes Riding,folk
a1015,Wilco,Box Full of Letters,folk
