ID, Artist, Song, Genre
671,Serj Tankian,Empty Walls,folk
680,Robyn Hitchcock,Nightride to Trinidad,folk
681,Robyn Hitchcock,Halo Mary,folk
682,Robyn Hitchcock,To Be Human,folk
683,Robyn Hitchcock,There Goes the Ice,folk
684,Robyn Hitchcock-Emma Swift,Robyn Hitchcock & Emma Swift,folk
685,Oysterband,Granite Years,folk
686,Oysterband,Cry Cry,folk
687,Oysterband,20th of April,folk
688,Oysterband,Long Dark Street,folk
689,Nelly Furtado,In God's Hands,folk
690,Nelly Furtado,Do It,folk
691,Nelly Furtado,Do It / Say It Right,folk
692,Zero assoluto-Nelly Furtado,Win or Lose (Appena prima di partire),folk
693,James Morrison-Nelly Furtado,Broken Strings,folk
694,Nelly Furtado,Manos al aire,folk
695,Flo Rida-Nelly Furtado,Jump,folk
698,The Band of Holy Joy,Real Beauty Passed Through,folk
700,The Band of Holy Joy,Wyrd Beautiful Thyme,folk
702,The Astronauts,Typically English Day,folk
704,The Albion Band,Wings,folk
708,Taj Mahal,Don't Call Us,folk
709,Syd Barrett,Octopus / Golden Hair,folk
712,Simon Campbell-Suzy Starlite,Happiness in Halos,folk
713,Suzy Bogguss,Drive South,folk
714,Suzy Bogguss,Hey Cinderella,folk
724,Simon & Garfunkel,Fakin' It,folk
725,Simon & Garfunkel,Mrs. Robinson,folk
726,Simon & Garfunkel,The Boxer,folk
727,Simon & Garfunkel,Bridge Over Troubled Water,folk
728,Simon & Garfunkel,Cecilia / The Only Living Boy in New York,folk
729,Simon & Garfunkel,The Boxer,folk
730,Sheryl Crow,Leaving Las Vegas,folk
731,Sheryl Crow,Run Baby Run,folk
732,Sheryl Crow,Strong Enough,folk
733,Sheryl Crow,Can't Cry Anymore,folk
734,Sheryl Crow,A Change Would Do You Good,folk
735,Sheryl Crow,Everyday Is a Winding Road,folk
736,Sheryl Crow,Everyday Is A Winding Road,folk
737,Sheryl Crow,If It Makes You Happy,folk
738,Shawn Mullins,Shimmer,folk
739,Serj Tankian,Sky Is Over,folk
740,Marc Streitenfeld-Mike Patton-Serj Tankian,Bird’s Eye,folk
741,Serj Tankian,Fears,folk
742,Serj Tankian,The Charade,folk
743,Serj Tankian,Left of Center,folk
744,Serj Tankian,Figure It Out,folk
745,Serj Tankian,Cornucopia,folk
746,Ray Harmony-Serj Tankian-Ihsahn-Devin Townsend-Abbie Johnson,We Are,folk
747,Benny Benassi-Serj Tankian,Shooting Helicopters,folk
750,Oysterband,Everywhere I Go,folk
751,Oysterband,One Green Hill / Jam Tomorrow,folk
752,Oysterband,On the Edge,folk
753,Oysterband,Street of Dreams,folk
754,Oysterband,This Is the Voice,folk
755,Oysterband,The Soul's Electric,folk
756,Oysterband,Rise Above,folk
757,Nelly Furtado,Más,folk
758,Nelly Furtado,Mi plan,folk
759,Nelly Furtado,Manos al aire,folk
760,Nelly Furtado-Julieta Venegas-Mala Rodríguez,Bajo otra luz,folk
761,Nelly Furtado,Silencio,folk
762,Timbaland-Nelly Furtado-SoShy,Morning After Dark,folk
763,Tiësto-Nelly Furtado,Who Wants to Be Alone,folk
764,Goldroom-The Mammals,Till Sunrise,folk
765,The Lost Brothers-G Tom Mac,Cry Little Sister (I Need U Now),folk
766,The Legendary Pink Dots,Sterre,folk
768,The John Butler Trio,JBT,folk
769,The Indelicates,We Hate the Kids,folk
778,Suzy Bogguss,Letting Go,folk
779,Sheryl Crow,Hard to Make a Stand,folk
780,Sheryl Crow,Tomorrow Never Dies,folk
781,Sheryl Crow,There Goes the Neighborhood,folk
782,Sheryl Crow,My Favorite Mistake,folk
783,Sheryl Crow,Anything but Down,folk
784,Sheryl Crow,Anything But Down,folk
785,Sheryl Crow,Soak Up the Sun,folk
786,Sheryl Crow,Steve McQueen,folk
787,Oysterband,Here Comes The Flood,folk
788,Oysterband,Love Will Tear Us Apart,folk
789,K'naan-Nelly Furtado,Is Anybody Out There?,folk
790,Nelly Furtado,Big Hoops (Bigger The Better),folk
791,Nelly Furtado,Spirit indestructible,folk
792,Blood Orange-Nelly Furtado,Hadron Collider,folk
793,Thea Gilmore,Fever Beats,folk
796,The Waifs,Lighthouse,folk
797,The Waifs,Bridal Train,folk
798,The Waifs,Sun Dirt Water,folk
799,The Vad Vuc-Finny McConnell,Rise Again,folk
800,The Vad Vuc,Sota i ciapp,folk
815,The Rankin Family,Maybe You're Right,folk
816,The Legendary Pink Dots,The Pre-Millennial Single,folk
817,The Legendary Pink Dots,A Scented Collage,folk
819,The John Butler Trio,What You Want,folk
820,The Indelicates,Julia, We Don't Live in the '60s,folk
821,The Indelicates,America,folk
822,The Indelicates,Sixteen,folk
823,The Indelicates,The Recession Song,folk
824,The Indelicates,Zuhalterballade,folk
825,The Indelicates,For Old Men,folk
826,The Indelicates,April Fools Dubstep,folk
827,The Indelicates,Double Dip Recession 2012,folk
828,Sheryl Crow-Wolfgang Niedecken,It's So Easy,folk
829,Sheryl Crow,The First Cut Is the Deepest,folk
830,Sheryl Crow,Good Is Good,folk
831,Sheryl Crow,Not Fade Away,folk
832,Sheryl Crow,Woman in the White House,folk
833,Sheryl Crow,Easy,folk
834,Sheryl Crow,Home,folk
838,Thea Gilmore,Instead of the Saints,folk
839,Thea Gilmore,Juliet (Keep That in Mind),folk
840,Thea Gilmore,Mainstream,folk
841,Thea Gilmore,Cheap Tricks,folk
842,Thea Gilmore-Dave McCabe,Old Soul,folk
843,Thea Gilmore,How the Love Gets In,folk
845,Violent Femmes,Ugly,folk
846,Vienna Teng,White Light (acoustic version),folk
847,Van Morrison,Bright Side of the Road,folk
850,RIFICA-Uncle Earl-Nika Douglas,Date Night,folk
851,Ulver,February MMX,folk
852,Tyrone Wells,Let It Snow! Let It Snow! Let It Snow!,folk
853,Tyrone Wells,Grace Is Dancing,folk
856,twin hidden,Unconditionally,folk
857,twin hidden,Boomerang - Single,folk
858,twin hidden,Join Hands - Single,folk
863,Trembling Bells,Hallelujah / Wah Wah,folk
880,The Indelicates,The Ballad of Indiana Bear,folk
881,The Indelicates,The Generation That Nobody Remembered,folk
882,The Indelicates,You Never Fought A War,folk
885,Wenzel,Ahoi! Ahoi!,folk
888,The Lovin’ Spoonful,Do You Believe in Magic / On the Road Again,folk
889,The Byrds,Turn! Turn! Turn! / She Don't Care About Time,folk
890,Roberta Flack-Donny Hathaway,Back Together Again,folk
894,Kate Bush,Wuthering Heights,folk
895,John Lennon-Yoko Ono,Instant Karma! / Who Has Seen the Wind?,folk
897,Jefferson Airplane,Martha / Watch Her Ride,folk
905,AURORA,Awakening,folk
906,AURORA,Under Stars,folk
907,AURORA,Runaway,folk
908,AURORA,Running With the Wolves,folk
909,Alison Krauss,Baby, Now That I've Found You,folk
910,Alison Krauss,When You Say Nothing at All,folk
911,Alison Krauss,Forget About It,folk
917,Violent Femmes,It’s Gonna Rain,folk
918,Violent Femmes,Children of the Revolution,folk
919,Killing Joke-Violent Femmes,Money Is Not Our God (Hideous remix) / Special (live),folk
920,Violent Femmes,American Music,folk
921,Violent Femmes,Do You Really Want to Hurt Me?,folk
922,Violent Femmes,Used to Be,folk
923,Violent Femmes,I Held Her in My Arms,folk
924,Violent Femmes,Breakin’ Up,folk
925,Van Morrison,Have I Told You Lately,folk
926,Van Morrison-Cliff Richard,Whenever God Shines His Light,folk
927,Van Morrison,In the Days Before Rock 'n' Roll,folk
928,Van Morrison,Real Real Gone,folk
929,Van Morrison,I Can't Stop Loving You,folk
930,Van Morrison,Why Must I Always Explain?,folk
943,Yusuf Islam,Indian Ocean,folk
947,Yes,Sweetness,folk
949,Xavier Rudd,Better People,folk
950,Xavier Rudd,This World as We Know It,folk
951,Xavier Rudd,Follow the Sun,folk
952,Woody Guthrie,Vigilante Man / I Ain't Got No Home in This World Anymore,folk
954,The Lovin’ Spoonful,You Didn't Have to Be So Nice / My Gal,folk
955,The Lovin’ Spoonful,Bald-Headed Lena / Jug Band Music,folk
956,The Lovin’ Spoonful,Daydream,folk
957,The Lovin’ Spoonful,Did You Ever Have to Make Up Your Mind,folk
958,The Lovin’ Spoonful,Nashville Cats / Full Measure,folk
959,The Lovin’ Spoonful,Rain on the Roof,folk
960,The Lovin’ Spoonful,Summer in the City,folk
961,The Byrds,All I Really Want to Do,folk
962,The Byrds,Mr. Tambourine Man,folk
963,The Byrds,Lady Friend / Old John Robertson,folk
964,The Byrds,So You Want to Be a Rock'n'Roll Star,folk
965,The Byrds,Mr. Tambourine Man / Turn, Turn, Turn (To Everything There Is a Season),folk
966,The Byrds,Lazy Days / Reputation,folk
967,Roberta Flack,Don't Make Me Wait Too Long,folk
968,Roberta Flack,Killing Me Softly With His Song,folk
976,Kate Bush,The Man With the Child in His Eyes,folk
977,Kate Bush,Hammer Horror,folk
978,Kate Bush,Wow,folk
